Eng,Kor,Ver
Dated Heavy Iron Lance,구식 중기창,2
Dated Yarzonshell Harpoon,구식 긴다리거미 작살창,2
Dated Jarl's Guisarme,구식 족장의 갈고리창,2
Dated Banneret Lance,구식 기사 랜스,2
Dated Iron Halberd,구식 미늘창,2
Dated Willow Shortbow,구식 단궁,2
Dated Maple Longbow,구식 장궁,2
Dated Elm Shortbow,구식 느릅나무 단궁,2
Dated Cavalry Bow,구식 기수궁,2
Dated Wrapped Maple Longbow,구식 가죽 덧댄 장궁,2
Dated Plumed Willow Shortbow,구식 단궁 DX,2
Dated Willow Composite Bow,구식 합성궁,2
Dated Ironclad Cavalry Bow,구식 철제 기수궁,2
Dated Ash Longbow,구식 물푸레나무 장궁,2
Dated Elm Velocity Bow,구식 가벼운 느릅나무 활,2
Dated Weevil Bow,구식 딱정벌레 활,2
Dated Armored Cavalry Bow,구식 장갑궁,2
Dated Wrapped Ash Longbow,구식 가죽 덧댄 물푸레나무 장궁,2
Dated Oak Composite Bow,구식 떡갈나무 합성궁,2
Dated Yew Longbow,구식 주목나무 장궁,2
Dated Crab Bow,구식 대왕게 활,2
Dated Maple Wand,구식 마법봉,2
Dated Budding Maple Wand,구식 어린잎 마법봉,2
Dated Maple Wand of Flames,구식 불씨 마법봉,2
Dated Maple Wand of Gales,구식 미풍 마법봉,2
Dated Maple Wand of Storms,구식 전격 마법봉,2
Dated Maple Wand of Tremors,구식 모래 마법봉,2
Dated Maple Wand of Tides,구식 물결 마법봉,2
Dated Maple Wand of Frost,구식 서리 마법봉,2
Dated Willow Wand,구식 버드나무 마법봉,2
Dated Budding Willow Wand,구식 어린잎 버드나무 마법봉,2
Dated Willow Wand of Flames,구식 불 마법봉,2
Dated Willow Wand of Gales,구식 바람 마법봉,2
Dated Willow Wand of Storms,구식 번개 마법봉,2
Dated Willow Wand of Tremors,구식 땅 마법봉,2
Dated Willow Wand of Tides,구식 물 마법봉,2
Dated Willow Wand of Frost,구식 얼음 마법봉,2
Dated Walnut Wand,구식 호두나무 마법봉,2
Dated Budding Walnut Wand,구식 어린잎 호두나무 마법봉,2
Dated Walnut Wand of Flames,구식 화염 마법봉,2
Dated Walnut Wand of Gales,구식 돌풍 마법봉,2
Dated Walnut Wand of Storms,구식 폭풍 마법봉,2
Dated Walnut Wand of Tremors,구식 지진의 마법봉,2
Dated Walnut Wand of Tides,구식 해일 마법봉,2
Dated Walnut Wand of Frost,구식 설풍 마법봉,2
Dated Ash Cane,구식 지팡이,2
Dated Elm Cane,구식 느릅나무 지팡이,2
Dated Pine Crook,구식 홀장,2
Dated Pastoral Elm Cane,구식 목동의 느릅나무 지팡이,2
Dated Plumed Pine Crook,구식 깃털 홀장,2
Dated Mahogany Radical,구식 뿌리지팡이,2
Dated Oak Cane,구식 떡갈나무 지팡이,2
Dated Flambeau Radical,구식 횃불 뿌리지팡이,2
Dated Yew Crook,구식 주목나무 홀장,2
Dated Sprouting Radical,구식 새싹 뿌리지팡이,2
Dated Pastoral Oak Cane,구식 목동의 떡갈나무 지팡이,2
Dated Plumed Yew Crook,구식 까마귀 홀장,2
Dated Jade Crook,구식 비취 홀장,2
Dated Copper Scepter,구식 홀,2
Dated Decorated Copper Scepter,구식 홀 DX,2
Dated Brass Cudgel,구식 곤봉,2
Dated Silver Scepter,구식 은제 홀,2
Dated Brand,구식 인장,2
Dated Decorated Silver Scepter,구식 은제 홀 DX,2
Dated Iron Cudgel,구식 철제 곤봉,2
Dated Ornate Silver Scepter,구식 은제 홀 SP,2
Dated Wind Brand,구식 바람 인장,2
Dated Earth Brand,구식 땅 인장,2
Dated Lightning Brand,구식 번개 인장,2
Dated Ice Brand,구식 얼음 인장,2
Dated Fire Brand,구식 불 인장,2
Dated Water Brand,구식 물 인장,2
Dated Bone Staff,구식 주술봉,2
Dated Decorated Bone Staff,구식 주술봉 DX,2
Dated Horn Staff,구식 뿔 주술봉,2
Dated Decorated Horn Staff,구식 뿔 주술봉 DX,2
Dated Square Maple Shield,구식 손방패,2
Dated Bronze Hoplon,구식 전통방패,2
Dated Round Chestnut Shield,구식 원형방패,2
Dated Bronze Buckler,구식 전투방패,2
Dated Square Ash Shield,구식 물푸레나무 손방패,2
Dated Sheepskin Targe,구식 소형방패,2
Dated Bronze Pelta,구식 타원방패,2
Dated Warded Round Shield,구식 돌기방패,2
Dated Ironclad Bronze Buckler,구식 철갑 전투방패,2
Dated Bronze Scutum,구식 사각방패,2
Dated Iron Hoplon,구식 철제 전통방패,2
Dated Round Oak Shield,구식 떡갈나무 방패,2
Dated Leather Targe,구식 가죽 소형방패,2
Dated Decorated Buckler,구식 장식 전투방패,2
Dated Lantern Shield,구식 조명방패,2
Dated Iron Scutum,구식 철제 사각방패,2
Dated Iron Pelta,구식 철제 타원방패,2
Dated Serpent Shield,구식 뱀장식 방패,2
Dated Bladed Lantern Shield,구식 칼날 조명방패,2
Dated Raptorskin Targe,구식 랍토르 소형방패,2
Dated Decorated Iron Scutum,구식 철제 사각방패 DX,2
Dated Bull Hoplon,구식 황소 전통방패,2
Dated Bronze Saw,구식 톱,2
Dated Chocobotail Saw,구식 초코보 꽁지톱,2
Dated Fish Saw,구식 생선톱,2
Dated Iron Saw,구식 철제 톱,2
Dated Bas-relief Iron Saw,구식 세공된 철제 톱,2
Dated Crosscut Saw,구식 가로톱,2
Dated Iron Chocobotail Saw,구식 철제 초코보 꽁지톱,2
Dated Bronze Claw Hammer,구식 장도리,2
Dated Iron Claw Hammer,구식 철제 장도리,2
Dated Steel Claw Hammer,구식 강철 장도리,2
Dated Bronze Cross-pein Hammer,구식 단조망치,2
Dated Birdsbeak Hammer,구식 새부리 망치,2
Dated Fortified Birdsbeak Hammer,구식 새부리 망치 DX,2
Dated Iron Cross-pein Hammer,구식 철제 단조망치,2
Dated Crowsbeak Hammer,구식 까마귀부리 망치,2
Dated Wrapped Crowsbeak Hammer,구식 가죽 덧댄 까마귀부리 망치,2
Dated Heavy Crowsbeak Hammer,구식 중형 까마귀부리 망치,2
Dated Bronze File,구식 줄판,2
Dated Iron File,구식 철제 줄판,2
Dated Polished Iron File,구식 철제 줄판 DX,2
Dated Bronze Doming Hammer,구식 판금망치,2
Dated Bronze Raising Hammer,구식 돋을무늬 망치,2
Dated Tin Bronze Raising Hammer,구식 돋을무늬 망치 DX,2
Dated Iron Doming Hammer,구식 철제 판금망치,2
Dated Iron Raising Hammer,구식 철제 돋을무늬 망치,2
Dated Wrapped Iron Raising Hammer,구식 가죽 덧댄 돋을무늬 망치,2
Dated Heavy-duty Iron Raising Hammer,구식 가죽 덧댄 돋을무늬 망치 DX,2
Dated Bronze Pliers,구식 플라이어,2
Dated Iron Pliers,구식 철제 플라이어,2
Dated Steel Pliers,구식 강철 플라이어,2
Dated Bronze Chaser Hammer,구식 끌망치,2
Dated Bronze Ornamental Hammer,구식 장식새김 망치,2
Dated Tin Bronze Ornamental Hammer,구식 장식새김 망치 DX,2
Dated Iron Chaser Hammer,구식 철제 끌망치,2
Dated Fortified Iron Chaser Hammer,구식 철제 끌망치 DX,2
Dated Iron Ornamental Hammer,구식 철제 장식새김 망치,2
Dated Steel Chaser Hammer,구식 강철 끌망치,2
Dated Mudstone Grinding Wheel,구식 연삭기,2
Dated Ragstone Grinding Wheel,구식 경질암 연삭기,2
Dated Siltstone Grinding Wheel,구식 실트암 연삭기,2
Dated Bronze Head Knife,구식 가죽칼,2
Dated Brass Head Knife,구식 황동 가죽칼,2
Dated Heavy-duty Brass Head Knife,구식 황동 가죽칼 DX,2
Dated Iron Round Knife,구식 둥근칼,2
Dated Iron Head Knife,구식 철제 가죽칼,2
Dated Darksilver Head Knife,구식 흑은 가죽칼,2
Dated Steel Round Knife,구식 강철 둥근칼,2
Dated Bronze Awl,구식 목타,2
Dated Iron Awl,구식 철제 목타,2
Dated Steel Awl,구식 강철 목타,2
Dated Bronze Needle,구식 바늘,2
Dated Hedgemole Needle,구식 바늘두더지 바늘,2
Dated Iron Needle,구식 철제 바늘,2
Dated Silver Needle,구식 은제 바늘,2
Dated Steel Needle,구식 강철 바늘,2
Dated Thousand Needle,구식 선인장 바늘,2
Dated Maple Spinning Wheel,구식 물레,2
Dated Elm Spinning Wheel,구식 느릅나무 물레,2
Dated Walnut Spinning Wheel,구식 호두나무 물레,2
Dated Oak Spinning Wheel,구식 떡갈나무 물레,2
Dated Copper Alembic,구식 증류기,2
Dated Brass Alembic,구식 황동 증류기,2
Dated Tin Alembic,구식 주석 증류기,2
Dated Iron Alembic,구식 철제 증류기,2
Dated Conical Alembic,구식 원뿔 증류기,2
Dated Silver Alembic,구식 은제 증류기,2
Dated Thermal Alembic,구식 보온 증류기,2
Dated Bronze Mortar,구식 약연,2
Dated Iron Mortar,구식 철제 약연,2
Dated Steel Mortar,구식 강철 약연,2
Dated Bronze Skillet,구식 주물 프라이팬,2
Dated Iron Skillet,구식 철제 주물 프라이팬,2
Dated White Skillet,구식 백색 주물 프라이팬,2
Dated Royal Kitchens Skillet,구식 왕실 주물 프라이팬,2
Dated Iron Frypan,구식 프라이팬,2
Dated Steel Skillet,구식 강철 주물 프라이팬,2
Dated Bomb Frypan,구식 봄 프라이팬,2
Dated Bronze Culinary Knife,구식 요리칼,2
Dated Iron Culinary Knife,구식 철제 요리칼,2
Dated Mythril Culinary Knife,구식 미스릴 요리칼,2
Dated Bronze Pickaxe,구식 곡괭이,2
Dated Plumed Bronze Pickaxe,구식 깃털장식 곡괭이,2
Dated Oiled Bronze Pickaxe,구식 깃털장식 곡괭이 DX,2
Dated Iron Pickaxe,구식 철제 곡괭이,2
Dated Polished Iron Pickaxe,구식 연마된 곡괭이,2
Dated Dodotail Pickaxe,구식 도도 깃털장식 곡괭이,2
Dated Iron Dolabra,구식 양날곡괭이,2
Dated Bronze Sledgehammer,구식 채굴망치,2
Dated Iron Sledgehammer,구식 철제 채굴망치,2
Dated Mythril Sledgehammer,구식 미스릴 채굴망치,2
Dated Bronze Hatchet,구식 손도끼,2
Dated Plumed Bronze Hatchet,구식 초코보 손도끼,2
Dated Oiled Bronze Hatchet,구식 초코보 손도끼 DX,2
Dated Brass Hatchet,구식 황동 손도끼,2
Dated Iron Hatchet,구식 철제 손도끼,2
Dated Steel Hatchet,구식 강철 손도끼,2
Dated Plumed Iron Hatchet,구식 대머리수리 손도끼,2
Dated Bronze Scythe,구식 큰낫,2
Dated Iron Scythe,구식 철제 큰낫,2
Dated Steel Scythe,구식 강철 큰낫,2
Dated Ash Fishing Rod,구식 낚싯대,2
Dated Willow Fishing Rod,구식 버드나무 낚싯대,2
Dated Pine Fishing Rod,구식 소나무 낚싯대,2
Dated Bamboo Fishing Rod,구식 대나무 낚싯대,2
Dated Rattan Fishing Rod,구식 등나무 낚싯대,2
Dated Yew Fishing Rod,구식 주목나무 낚싯대,2
Dated Horn Fishing Rod,구식 뿔 낚싯대,2
Weathered Coif (Grey),낡은 머리쓰개,2
Weathered Beret (Beige),낡은 베레모,2
Weathered Spectacles,낡은 단안경,2
Weathered Bandana,낡은 두건,2
Weathered Sun Hat,낡은 차광모자,2
Weathered Beach Hat (Blue),낡은 해변모자,2
Dated Hempen Coif,구식 머리쓰개,2
Dated Hempen Coif (Brown),구식 갈색 머리쓰개,2
Dated Hempen Coif (Grey),구식 회색 머리쓰개,2
Dated Hempen Coif (Beige),구식 연노랑색 머리쓰개,2
Dated Straw Hat,구식 밀짚모자,2
Dated Hempen Bandana,구식 두건,2
Dated Hempen Bandana (Beige),구식 연노랑색 두건,2
Dated Hempen Bandana (Brown),구식 갈색 두건,2
Dated Hempen Bandana (Grey),구식 회색 두건,2
Dated Hempen Scarf,구식 머리싸개,2
Dated Hempen Scarf (Grey),구식 회색 머리싸개,2
Dated Hempen Scarf (Beige),구식 연노랑색 머리싸개,2
Dated Hempen Scarf (Brown),구식 갈색 머리싸개,2
Dated Hempen Beret,구식 베레모,2
Dated Hempen Beret (Brown),구식 갈색 베레모,2
Dated Hempen Beret (Grey),구식 회색 베레모,2
Dated Hempen Beret (Beige),구식 연노랑색 베레모,2
Dated Hempen Hat,구식 모자,2
Dated Hempen Hat (Brown),구식 갈색 모자,2
Dated Hempen Hat (Grey),구식 회색 모자,2
Dated Hempen Hat (Beige),구식 연노랑색 모자,2
Dated Lauan Halfmask,구식 반가면,2
Dated Walking Hat,구식 산책용 밀짚모자,2
Dated Hempen Turban,구식 터번,2
Dated Hempen Turban (Brown),구식 갈색 터번,2
Dated Hempen Turban (Grey),구식 회색 터번,2
Dated Hempen Turban (Beige),구식 연노랑색 터번,2
Dated Sheepskin Calot,구식 귀덮개 모자,2
Dated Sheepskin Calot (Taupe),구식 회갈색 귀덮개 모자,2
Dated Sheepskin Calot (Grey),구식 회색 귀덮개 모자,2
Dated Hunting Hat (Brown),구식 갈색 사냥모자,2
Dated Hunting Hat (Grey),구식 회색 사냥모자,2
Dated Hunting Hat (Beige),구식 연노랑색 사냥모자,2
Dated Sheepskin Pot Helm,구식 전투모,2
Dated Hempen Sugarloaf Hat (Brown),구식 고깔모자,2
Dated Hempen Sugarloaf Hat (Grey),구식 회색 고깔모자,2
Dated Hempen Sugarloaf Hat (Beige),구식 연노랑색 고깔모자,2
Dated Cotton Coif,구식 무명 머리쓰개,2
Dated Cotton Coif (Red),구식 빨간색 무명 머리쓰개,2
Dated Cotton Coif (Yellow),구식 노란색 무명 머리쓰개,2
Dated Cotton Coif (Green),구식 초록색 무명 머리쓰개,2
Dated Cotton Coif (Blue),구식 하늘색 무명 머리쓰개,2
Dated Copper Spectacles,구식 단안경,2
Dated Weathered Spectacles (Black),구식 검은색 단안경,2
Dated Weathered Spectacles (Green),구식 초록색 단안경,2
Dated Copper Circlet (Sunstone),구식 머리장식(태양석),2
Dated Copper Circlet (Lapis Lazuli),구식 머리장식(청금석),2
Dated Copper Circlet (Sphene),구식 머리장식(설석),2
Dated Copper Circlet (Malachite),구식 머리장식(공작석),2
Dated Copper Circlet (Fluorite),구식 머리장식(형석),2
Dated Copper Circlet (Danburite),구식 머리장식(댄버라이트),2
Dated Cotton Bandana,구식 무명 두건,2
Dated Cotton Bandana (Red),구식 빨간색 무명 두건,2
Dated Cotton Bandana (Yellow),구식 노란색 무명 두건,2
Dated Cotton Bandana (Green),구식 초록색 무명 두건,2
Dated Cotton Bandana (Blue),구식 하늘색 무명 두건,2
Dated Copper Barbut,구식 무장투구,2
Dated Cotton Scarf,구식 무명 머리싸개,2
Dated Cotton Scarf (Red),구식 빨간색 무명 머리싸개,2
Dated Cotton Scarf (Yellow),구식 노란색 무명 머리싸개,2
Dated Cotton Scarf (Green),구식 초록색 무명 머리싸개,2
Dated Cotton Scarf (Blue),구식 하늘색 무명 머리싸개,2
Dated Cotton Beret,구식 무명 베레모,2
Dated Cotton Beret (Green),구식 초록색 무명 베레모,2
Dated Cotton Beret (Red),구식 빨간색 무명 베레모,2
Dated Cotton Beret (Yellow),구식 노란색 무명 베레모,2
Dated Cotton Beret (Blue),구식 하늘색 무명 베레모,2
Dated Bronze Sallet,구식 경량투구,2
Dated Bronze Goggles,구식 고글,2
Dated Bronze Goggles (Yellow),구식 노란색 고글,2
Dated Bronze Goggles (Black),구식 검은색 고글,2
Dated Brass Magnifiers (Red),구식 확대경,2
Dated Willow Halfmask,구식 버드나무 반가면,2
Dated Tarred Walking Hat,구식 타르 밀짚모자,2
Dated Cotton Turban,구식 무명 터번,2
Dated Cotton Turban (Red),구식 빨간색 무명 터번,2
Dated Cotton Turban (Yellow),구식 노란색 무명 터번,2
Dated Cotton Turban (Green),구식 초록색 무명 터번,2
Dated Cotton Turban (Blue),구식 하늘색 무명 터번,2
Dated Dodoskin Calot,구식 도도 귀덮개 모자,2
Dated Dodoskin Calot (Black),구식 검은색 도도 귀덮개 모자,2
Dated Trapper's Hat,구식 매복자 모자,2
Dated Trapper's Hat (Red),구식 빨간색 매복자 모자,2
Dated Trapper's Hat (Yellow),구식 노란색 매복자 모자,2
Dated Trapper's Hat (Green),구식 초록색 매복자 모자,2
Dated Trapper's Hat (Blue),구식 하늘색 매복자 모자,2
Dated Bronze Elmo,구식 기사투구,2
Dated Dodoskin Pot Helm,구식 도도 전투모,2
Dated Dodoskin Pot Helm (Black),구식 검은색 전투모,2
Dated Cotton Sugarloaf Hat (Red),구식 빨간색 무명 고깔모자,2
Dated Cotton Sugarloaf Hat (Green),구식 초록색 무명 고깔모자,2
Dated Cotton Sugarloaf Hat (Blue),구식 하늘색 무명 고깔모자,2
Dated Canvas Coif,구식 천 머리쓰개,2
Dated Canvas Coif (Auburn),구식 적갈색 천 머리쓰개,2
Dated Canvas Coif (Pink),구식 분홍색 천 머리쓰개,2
Dated Canvas Coif (Brown),구식 갈색 천 머리쓰개,2
Dated Canvas Coif (Blue),구식 파란색 천 머리쓰개,2
Dated Brass Spectacles,구식 황동 단안경,2
Dated Brass Spectacles (Yellow),구식 노란색 황동 단안경,2
Dated Brass Circlet (Sunstone),구식 황동 머리장식(태양석),2
Dated Brass Circlet (Lapis Lazuli),구식 황동 머리장식(청금석),2
Dated Brass Circlet (Sphene),구식 황동 머리장식(설석),2
Dated Brass Circlet (Malachite),구식 황동 머리장식(공작석),2
Dated Brass Circlet (Fluorite),구식 황동 머리장식(형석),2
Dated Brass Circlet (Danburite),구식 황동 머리장식(댄버라이트),2
Dated Canvas Bandana,구식 천 두건,2
Dated Canvas Bandana (Auburn),구식 적갈색 천 두건,2
Dated Canvas Bandana (Pink),구식 분홍색 천 두건,2
Dated Canvas Bandana (Brown),구식 갈색 천 두건,2
Dated Canvas Bandana (Blue),구식 파란색 천 두건,2
Dated Bronze Barbut,구식 청동 무장투구,2
Dated Canvas Beret,구식 천 베레모,2
Dated Canvas Beret (Auburn),구식 적갈색 천 베레모,2
Dated Canvas Beret (Pink),구식 분홍색 천 베레모,2
Dated Canvas Beret (Brown),구식 갈색 천 베레모,2
Dated Canvas Beret (Blue),구식 파란색 천 베레모,2
Dated Brass Preserves (Red),구식 빨간색 보안경,2
Dated Brass Preserves (Green),구식 초록색 보안경,2
Dated Assault Sallet,구식 돌격대 경량투구,2
Dated Canvas Hat,구식 천 모자,2
Dated Canvas Hat (Auburn),구식 적갈색 천 모자,2
Dated Canvas Hat (Pink),구식 분홍색 천 모자,2
Dated Canvas Hat (Brown),구식 갈색 천 모자,2
Dated Canvas Hat (Blue),구식 파란색 천 모자,2
Dated Iron Magnifiers (Red),구식 철제 확대경,2
Dated Oak Halfmask,구식 떡갈나무 반가면,2
Dated Bronze Chain Coif,구식 사슬머리쓰개,2
Dated Fishing Hat,구식 낚시모자,2
Dated Fishing Hat (Red),구식 낚시모자(빨간색),2
Dated Fishing Hat (Yellow),구식 낚시모자(노란색),2
Dated Fishing Hat (Green),구식 낚시모자(초록색),2
Dated Fishing Hat (Blue),구식 낚시모자(파란색),2
Dated Leather Calot (Black),구식 검은색 귀덮개 모자,2
Dated Leather Calot (Ochre),구식 황토색 귀덮개 모자,2
Dated Leather Calot (Green),구식 초록색 귀덮개 모자,2
Dated Leather Calot (Red),구식 빨간색 귀덮개 모자,2
Dated Tracker's Hat,구식 추적자 모자,2
Dated Tracker's Hat (Auburn),구식 적갈색 추적자 모자,2
Dated Tracker's Hat (Pink),구식 분홍색 추적자 모자,2
Dated Tracker's Hat (Brown),구식 갈색 추적자 모자,2
Dated Tracker's Hat (Blue),구식 파란색 추적자 모자,2
Dated Brass Elmo,구식 황동 기사투구,2
Dated Leather Pot Helm (Black),구식 가죽 전투모(검은색),2
Dated Leather Pot Helm (Ochre),구식 가죽 전투모(황토색),2
Dated Leather Pot Helm (Green),구식 가죽 전투모(초록색),2
Dated Leather Pot Helm (Red),구식 가죽 전투모(빨간색),2
Dated Canvas Wedge Cap,구식 정장모자,2
Dated Canvas Wedge Cap (Auburn),구식 적갈색 정장모자,2
Dated Canvas Wedge Cap (Pink),구식 분홍색 정장모자,2
Dated Canvas Wedge Cap (Brown),구식 갈색 정장모자,2
Dated Canvas Wedge Cap (Blue),구식 파란색 정장모자,2
Dated Velveteen Coif,구식 우단 머리쓰개,2
Dated Velveteen Coif (Black),구식 검은색 우단 머리쓰개,2
Dated Velveteen Coif (Red),구식 빨간색 우단 머리쓰개,2
Dated Velveteen Coif (Yellow),구식 노란색 우단 머리쓰개,2
Dated Velveteen Coif (Green),구식 초록색 우단 머리쓰개,2
Dated Silver Spectacles,구식 은제 단안경,2
Dated Silver Spectacles (Yellow),구식 노란색 은제 단안경,2
Dated Silver Circlet (Garnet),구식 은제 머리장식(석류석),2
Dated Silver Circlet (Aquamarine),구식 은제 머리장식(남옥),2
Dated Silver Circlet (Heliodor),구식 은제 머리장식(헬리오도르),2
Dated Silver Circlet (Peridot),구식 은제 머리장식(페리도트),2
Dated Silver Circlet (Amethyst),구식 은제 머리장식(자수정),2
Dated Silver Circlet (Goshenite),구식 은제 머리장식(고셰나이트),2
Dated Iron Barbut,구식 철제 무장투구,2
Dated Velveteen Scarf,구식 우단 머리싸개,2
Dated Velveteen Scarf (Black),구식 검은색 우단 머리싸개,2
Dated Velveteen Scarf (Red),구식 빨간색 우단 머리싸개,2
Dated Velveteen Scarf (Yellow),구식 노란색 우단 머리싸개,2
Dated Velveteen Scarf (Green),구식 초록색 우단 머리싸개,2
Dated Velveteen Beret,구식 우단 베레모,2
Dated Velveteen Beret (Black),구식 검은색 우단 베레모,2
Dated Velveteen Beret (Red),구식 빨간색 우단 베레모,2
Dated Velveteen Beret (Yellow),구식 노란색 우단 베레모,2
Dated Velveteen Beret (Green),구식 초록색 우단 베레모,2
Dated Iron Preserves (Red),구식 빨간색 철제 보안경,2
Dated Iron Preserves (Green),구식 초록색 철제 보안경,2
Dated Iron Sallet,구식 철제 경량투구,2
Dated Velveteen Hat,구식 우단 모자,2
Dated Velveteen Hat (Black),구식 검은색 우단 모자,2
Dated Velveteen Hat (Red),구식 빨간색 우단 모자,2
Dated Velveteen Hat (Yellow),구식 노란색 우단 모자,2
Dated Velveteen Hat (Green),구식 초록색 우단 모자,2
Dated Silver Magnifiers (Green),구식 은제 확대경,2
Dated Yew Halfmask,구식 주목나무 반가면,2
Dated Iron Chain Coif,구식 철제 사슬머리쓰개,2
Dated Bronze Celata,구식 보호투구,2
Dated Velveteen Turban,구식 우단 터번,2
Dated Velveteen Turban (Black),구식 검은색 우단 터번,2
